Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
37,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,07 Oct 2023
38,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,10000,16000,13000,06 Oct 2023
39,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,05 Oct 2023
40,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,2500,5000,3500,04 Oct 2023
41,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,03 Oct 2023
42,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,02 Oct 2023
43,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,30 Sep 2023
44,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,29 Sep 2023
45,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,28 Sep 2023
46,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,27 Sep 2023
47,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,26 Sep 2023
48,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,25 Sep 2023
49,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,23 Sep 2023
50,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,22 Sep 2023
51,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,21 Sep 2023
52,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,20 Sep 2023
53,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,19 Sep 2023
54,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,16 Sep 2023
55,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,15 Sep 2023
56,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,14 Sep 2023
57,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,13 Sep 2023
58,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,12 Sep 2023
59,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,10000,14000,12000,11 Sep 2023
60,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,08 Sep 2023
61,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,06 Sep 2023
62,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,05 Sep 2023
63,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,04 Sep 2023
64,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,10000,14000,12000,02 Sep 2023
65,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8500,12500,10500,01 Sep 2023
66,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,31 Aug 2023
67,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,30 Aug 2023
68,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,29 Aug 2023
69,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,28 Aug 2023
70,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,25 Aug 2023
71,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,7500,12500,10000,24 Aug 2023
72,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,23 Aug 2023
73,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,10000,14000,12000,22 Aug 2023
74,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,21 Aug 2023
75,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,14500,13500,19 Aug 2023
76,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,18 Aug 2023
77,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,17 Aug 2023
78,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,14 Aug 2023
79,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,11 Aug 2023
80,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,10 Aug 2023
81,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,09 Aug 2023
82,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,08 Aug 2023
83,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,07 Aug 2023
84,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,05 Aug 2023
85,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,04 Aug 2023
86,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,03 Aug 2023
87,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,02 Aug 2023
88,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,01 Aug 2023
89,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,31 Jul 2023
90,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,28 Jul 2023
91,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,27 Jul 2023
92,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,26 Jul 2023
93,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,25 Jul 2023
94,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,24 Jul 2023
95,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,21 Jul 2023
96,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,20 Jul 2023
97,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,14500,13500,19 Jul 2023
98,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,18 Jul 2023
99,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,17 Jul 2023
100,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10500,14500,12500,15 Jul 2023
101,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,14 Jul 2023
102,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,16500,14500,13 Jul 2023
103,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,16500,14500,12 Jul 2023
104,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,11 Jul 2023
105,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,10 Jul 2023
106,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,07 Jul 2023
107,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,06 Jul 2023
108,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,05 Jul 2023
109,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,10000,15000,12500,04 Jul 2023
110,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,12500,15000,13500,03 Jul 2023
111,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,1000,2000,1500,01 Jul 2023
112,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,30 Jun 2023
113,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,28 Jun 2023
114,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,17500,15000,27 Jun 2023
115,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,26 Jun 2023
116,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,1000,2000,1500,23 Jun 2023
117,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,22 Jun 2023
118,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,21 Jun 2023
119,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,20 Jun 2023
120,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,19 Jun 2023
121,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,17 Jun 2023
122,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,16 Jun 2023
123,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,15 Jun 2023
124,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,14 Jun 2023
125,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,13 Jun 2023
126,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,12 Jun 2023
127,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,09 Jun 2023
128,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,08 Jun 2023
129,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,07 Jun 2023
130,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,1500,2500,2000,06 Jun 2023
131,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,1500,2500,2000,06 Jun 2023
132,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,05 Jun 2023
133,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,03 Jun 2023
134,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,02 Jun 2023
135,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,10000,14000,12000,01 Jun 2023
136,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,31 May 2023
137,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,30 May 2023
138,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10500,14500,12500,29 May 2023
139,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,26 May 2023
140,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,12500,14500,13500,25 May 2023
141,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,9500,13500,11500,24 May 2023
142,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,23 May 2023
143,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,22 May 2023
144,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,20 May 2023
145,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,12500,15000,13500,19 May 2023
146,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,18 May 2023
147,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,14500,13500,17 May 2023
148,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,16 May 2023
149,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,15 May 2023
150,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,12500,15000,13500,12 May 2023
151,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,11 May 2023
152,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,14000,16000,15000,09 May 2023
153,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,08 May 2023
154,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,05 May 2023
155,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,04 May 2023
156,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,03 May 2023
157,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,02 May 2023
158,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,29 Apr 2023
159,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,28 Apr 2023
160,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,14000,12000,27 Apr 2023
161,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,26 Apr 2023
162,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,25 Apr 2023
163,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,24 Apr 2023
164,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,21 Apr 2023
165,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,20 Apr 2023
166,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,19 Apr 2023
167,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,18 Apr 2023
168,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,17 Apr 2023
169,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,15 Apr 2023
170,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,13 Apr 2023
171,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,8000,12000,10000,12 Apr 2023
172,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,11 Apr 2023
173,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,10 Apr 2023
174,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,06 Apr 2023
175,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,05 Apr 2023
176,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,12500,15000,13500,03 Apr 2023
177,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,01 Apr 2023
178,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,15000,13500,31 Mar 2023
179,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,30 Mar 2023
180,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,4000,8000,6000,29 Mar 2023
181,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,28 Mar 2023
182,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,27 Mar 2023
183,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,24 Mar 2023
184,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,23 Mar 2023
185,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,21 Mar 2023
186,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,16000,13500,20 Mar 2023
187,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,18 Mar 2023
188,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,17 Mar 2023
189,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,16000,13000,16 Mar 2023
190,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,15 Mar 2023
191,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,14 Mar 2023
192,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,13 Mar 2023
193,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,10 Mar 2023
194,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,11000,15000,13000,10 Mar 2023
195,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,09 Mar 2023
196,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,08 Mar 2023
197,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,FAQ,12000,16000,14000,07 Mar 2023
198,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,06 Mar 2023
199,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,04 Mar 2023
200,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,13000,17000,15000,03 Mar 2023
201,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,14000,16000,15000,02 Mar 2023
202,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,01 Mar 2023
203,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,28 Feb 2023
204,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12500,16500,14500,27 Feb 2023
205,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,14000,16000,15000,24 Feb 2023
206,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,23 Feb 2023
207,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,22 Feb 2023
208,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,14000,17000,15500,21 Feb 2023
209,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,20 Feb 2023
210,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,17 Feb 2023
211,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,16 Feb 2023
212,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,15 Feb 2023
213,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,14 Feb 2023
214,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,13 Feb 2023
215,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,10 Feb 2023
216,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,09 Feb 2023
217,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,08 Feb 2023
218,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,11000,15000,13000,07 Feb 2023
219,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,14000,18000,16000,06 Feb 2023
220,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,04 Feb 2023
221,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,03 Feb 2023
222,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,02 Feb 2023
223,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,01 Feb 2023
224,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,31 Jan 2023
225,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,30 Jan 2023
226,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,10000,15000,12500,27 Jan 2023
227,Bangalore,"Binny Mill (F&V), Bangalore",Pomegranate,Pomogranate,Large,12000,16000,14000,25 Jan 2023
